Archive_Date,Hospital_Group,Hospital_HIPE,Hospital_Name,Specialty_HIPE,Specialty_Name,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Day Case,Child,0-15,  0-3 Months,8
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Day Case,Child,0-15,  3-6 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Day Case,Child,0-15,  6-9 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Day Case,Child,16-64,  0-3 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Day Case,Child,16-64,18+ Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Inpatient,Child,0-15,  0-3 Months,5
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Inpatient,Child,0-15,  3-6 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Inpatient,Child,0-15,18+ Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Inpatient,Child,16-64,  0-3 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Inpatient,Child,16-64,  3-6 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0300,Dermatology,Day Case,Child,0-15,  0-3 Months,9
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0300,Dermatology,Day Case,Child,0-15,  3-6 Months,10
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0300,Dermatology,Day Case,Child,16-64,  3-6 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0400,Endocrinology,Day Case,Child,0-15,  0-3 Months,6
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0400,Endocrinology,Day Case,Child,0-15,  3-6 Months,3
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0400,Endocrinology,Day Case,Child,0-15,  6-9 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0400,Endocrinology,Day Case,Child,16-64,  0-3 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0400,Endocrinology,Day Case,Child,16-64,  3-6 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0400,Endocrinology,Inpatient,Child,0-15,  0-3 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Day Case,Child,0-15,  0-3 Months,28
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Day Case,Child,0-15,  3-6 Months,13
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Day Case,Child,0-15,  6-9 Months,6
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Day Case,Child,0-15,  9-12 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Day Case,Child,0-15, 12-15 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Day Case,Child,0-15,18+ Months,6
