Title,Category,Emergency In-Patients,Emergency In-Patients,Emergency In-Patients,Emergency In-Patients,,,,,
Title,Category,N,%,Mean LOS,Med LOS,,,,,
Top 20 Principal Diagnosesa,R07 Pain in throat and chest,"18,478",4.3,1.7,1,,,,,
Top 20 Principal Diagnosesa,J22 Unspecified acute lower respiratory infection,"14,470",3.3,6.6,4,,,,,
Top 20 Principal Diagnosesa,J44 Other chronic obstructive pulmonary disease,"14,174",3.3,7.9,5,,,,,
Top 20 Principal Diagnosesa,N39 Other disorders of urinary system,"12,662",2.9,8.7,5,,,,,
Top 20 Principal Diagnosesa,"J18 Pneumonia, organism unspecified","11,758",2.7,10.1,6,,,,,
Top 20 Principal Diagnosesa,R10 Abdominal and pelvic pain,"10,068",2.3,2.2,1,,,,,
Top 20 Principal Diagnosesa,R55 Syncope and collapse,"9,357",2.2,4.6,2,,,,,
Top 20 Principal Diagnosesa,L03 Cellulitis,"6,492",1.5,6.6,4,,,,,
Top 20 Principal Diagnosesa,I50 Heart failure,"6,154",1.4,10.2,7,,,,,
Top 20 Principal Diagnosesa,R51 Headache,"6,153",1.4,2,1,,,,,
Top 20 Principal Diagnosesa,K35 Acute appendicitis,"6,019",1.4,3.3,2,,,,,
Top 20 Principal Diagnosesa,I21 Acute myocardial infarction,"5,993",1.4,6.6,4,,,,,
Top 20 Principal Diagnosesa,I48 Atrial fibrillation and flutter,"5,871",1.4,4.1,2,,,,,
Top 20 Principal Diagnosesa,A09 Other gastroenteritis and colitis of  infectious and unspecified origin,"5,267",1.2,3.9,2,,,,,
Top 20 Principal Diagnosesa,I63 Cerebral infarction,"4,664",1.1,16.2,8,,,,,
Top 20 Principal Diagnosesa,S52 Fracture of forearm,"4,584",1.1,2.8,1,,,,,
Top 20 Principal Diagnosesa,S72 Fracture of femur,"4,369",1,18.1,11,,,,,
Top 20 Principal Diagnosesa,A08 Viral and other specified intestinal infections,"4,156",1,2.1,1,,,,,
Top 20 Principal Diagnosesa,K80 Cholelithiasis,"4,078",0.9,6.1,4,,,,,
Top 20 Principal Diagnosesa,"T81 Complications of procedures, not elsewhere classified","3,941",0.9,6.5,3,,,,,
Hospital Group,Ireland East,"89,384",20.6,–,–,,,,,
Hospital Group,RCSI,"69,575",16,–,–,,,,,
Hospital Group,Dublin Midlands,"61,702",14.2,–,–,,,,,
Hospital Group,South/South West,"78,819",18.2,–,–,,,,,
Hospital Group,UL,"36,973",8.5,–,–,,,,,
Hospital Group,Saolta,"79,232",18.2,–,–,,,,,
Hospital Group,Children’s,"18,524",4.3,–,–,,,,,
Hospital Group,No group,~,–,–,–,,,,,
Mode of Emergency Admission,Emergency Department,"284,416",65.5,–,–,,,,,
Mode of Emergency Admission,Medical assessment unit - admitted as in-patient,"35,942",8.3,–,–,,,,,
